Source : Pôle emploi - STMT, Données brutes
Demandeurs d’emploi inscrits en fin de mois à Pôle emploi par Catégorie - France entière - Janvier 1996 à Février 2022 - Données brutes
https://statistiques.pole-emploi.org/stmt/defm?lf=0&ss=1
Mois;A;B;C;D;E;Total
Janvier 1996;3 454 210; 291 730; 308 510; 178 570; 206 950;4 439 970
Février 1996;3 413 110; 296 110; 321 260; 185 450; 204 050;4 419 980
Mars 1996;3 326 830; 302 300; 349 280; 193 060; 204 240;4 375 710
Avril 1996;3 224 530; 301 670; 371 730; 200 970; 204 370;4 303 270
Mai 1996;3 186 330; 295 600; 372 870; 193 030; 203 650;4 251 490
Juin 1996;3 143 050; 306 460; 385 590; 151 890; 200 750;4 187 740
Juillet 1996;3 233 800; 269 060; 430 500; 96 380; 195 360;4 225 100
Août 1996;3 360 930; 276 250; 396 550; 84 990; 188 670;4 307 390
Septembre 1996;3 415 640; 339 240; 388 830; 130 600; 186 300;4 460 610
Octobre 1996;3 441 850; 343 210; 411 510; 169 800; 184 840;4 551 210
Novembre 1996;3 468 350; 339 320; 381 950; 191 560; 185 820;4 567 010
Décembre 1996;3 454 600; 341 450; 413 400; 176 090; 180 660;4 566 210
Janvier 1997;3 541 510; 342 540; 378 070; 182 740; 178 120;4 622 980
Février 1997;3 476 440; 348 160; 395 420; 185 100; 176 400;4 581 510
Mars 1997;3 380 360; 348 800; 425 810; 188 350; 173 840;4 517 170
Avril 1997;3 283 800; 345 600; 471 850; 190 970; 174 570;4 466 790
Mai 1997;3 245 420; 348 370; 458 120; 179 410; 172 800;4 404 120
Juin 1997;3 212 960; 343 630; 490 980; 144 690; 171 920;4 364 180
Juillet 1997;3 282 340; 304 690; 532 360; 95 400; 167 490;4 382 290
Août 1997;3 395 850; 317 480; 480 730; 82 730; 162 420;4 439 210
Septembre 1997;3 433 770; 374 200; 510 090; 121 310; 165 300;4 604 660
Octobre 1997;3 459 880; 373 000; 526 560; 153 090; 168 000;4 680 530
Novembre 1997;3 458 130; 377 770; 487 940; 172 780; 168 480;4 665 110
Décembre 1997;3 422 260; 366 520; 548 310; 164 850; 164 130;4 666 070
Janvier 1998;3 498 150; 372 830; 487 130; 172 460; 165 220;4 695 790
Février 1998;3 428 150; 383 010; 507 450; 178 200; 167 880;4 664 690
Mars 1998;3 324 840; 373 330; 558 740; 188 660; 171 500;4 617 060
Avril 1998;3 217 670; 378 370; 584 820; 189 310; 174 690;4 544 860
Mai 1998;3 156 470; 375 280; 577 040; 177 760; 174 710;4 461 250
Juin 1998;3 113 890; 353 720; 596 990; 144 750; 175 300;4 384 650
Juillet 1998;3 205 500; 320 310; 615 720; 96 720; 169 800;4 408 050
Août 1998;3 343 550; 330 720; 545 190; 91 050; 165 290;4 475 800
Septembre 1998;3 353 980; 394 090; 578 150; 126 540; 169 520;4 622 270
Octobre 1998;3 372 170; 396 600; 587 970; 162 640; 171 450;4 690 830
Novembre 1998;3 403 940; 388 150; 562 270; 189 230; 175 590;4 719 170
Décembre 1998;3 367 380; 394 380; 606 030; 173 250; 170 140;4 711 170
Janvier 1999;3 439 300; 407 490; 521 640; 179 880; 168 850;4 717 160
Février 1999;3 379 490; 411 820; 543 410; 182 850; 170 770;4 688 340
Mars 1999;3 287 320; 396 730; 607 330; 194 530; 172 610;4 658 520
Avril 1999;3 167 480; 411 950; 623 680; 195 170; 173 220;4 571 500
Mai 1999;3 108 030; 406 370; 621 990; 188 640; 173 220;4 498 260
Juin 1999;3 066 990; 385 430; 659 370; 155 730; 174 040;4 441 550
Juillet 1999;3 102 140; 353 630; 667 620; 102 190; 167 880;4 393 460
Août 1999;3 228 730; 355 720; 597 880; 100 760; 165 800;4 448 880
Septembre 1999;3 163 980; 423 070; 648 370; 137 350; 170 900;4 543 670
Octobre 1999;3 162 470; 417 200; 643 950; 171 410; 171 570;4 566 600
Novembre 1999;3 163 000; 404 060; 629 430; 200 210; 175 130;4 571 820
Décembre 1999;3 107 930; 399 570; 667 060; 183 910; 168 730;4 527 200
Janvier 2000;3 166 550; 410 920; 577 550; 193 660; 170 170;4 518 850
Février 2000;3 090 630; 402 560; 599 170; 199 090; 171 460;4 462 910
Mars 2000;2 941 750; 387 820; 645 150; 206 930; 173 950;4 355 600
Avril 2000;2 819 170; 400 970; 620 790; 206 650; 171 960;4 219 540
Mai 2000;2 746 170; 364 880; 656 730; 200 970; 171 520;4 140 280
Juin 2000;2 687 570; 370 880; 650 540; 137 300; 167 660;4 013 950
Juillet 2000;2 778 130; 338 890; 628 430; 82 900; 157 980;3 986 330
Août 2000;2 885 750; 359 500; 562 580; 78 530; 152 390;4 038 740
Septembre 2000;2 798 280; 407 380; 613 040; 112 180; 153 180;4 084 060
Octobre 2000;2 785 680; 393 230; 630 010; 151 890; 152 830;4 113 640
Novembre 2000;2 737 830; 395 750; 624 260; 174 750; 153 100;4 085 680
Décembre 2000;2 711 160; 397 970; 619 360; 155 050; 141 740;4 025 270
Janvier 2001;2 737 220; 400 310; 584 680; 163 080; 139 440;4 024 730
Février 2001;2 667 610; 406 920; 585 780; 166 200; 137 570;3 964 070
Mars 2001;2 558 680; 396 000; 634 660; 166 810; 134 840;3 890 990
Avril 2001;2 473 690; 411 100; 633 600; 168 350; 130 180;3 816 910
Mai 2001;2 427 860; 387 330; 655 790; 163 340; 125 900;3 760 210
Juin 2001;2 404 870; 380 560; 642 670; 127 940; 120 840;3 676 870
Juillet 2001;2 545 670; 343 810; 617 930; 78 150; 111 950;3 697 500
Août 2001;2 670 420; 364 940; 542 460; 71 530; 107 690;3 757 040
Septembre 2001;2 650 250; 414 490; 582 030; 95 000; 106 800;3 848 570
Octobre 2001;2 708 900; 402 140; 606 710; 121 890; 104 770;3 944 410
Novembre 2001;2 748 730; 408 940; 585 610; 149 620; 108 980;4 001 870
Décembre 2001;2 741 560; 420 110; 582 860; 144 960; 103 060;3 992 550
Janvier 2002;2 808 690; 419 680; 553 530; 165 060; 107 270;4 054 230
Février 2002;2 766 190; 433 070; 545 770; 171 850; 112 870;4 029 740
Mars 2002;2 694 180; 422 870; 586 510; 172 090; 117 290;3 992 940
Avril 2002;2 627 040; 422 960; 610 540; 178 950; 121 900;3 961 400
Mai 2002;2 578 190; 416 330; 602 940; 175 020; 128 650;3 901 120
Juin 2002;2 564 670; 404 170; 600 230; 132 820; 133 500;3 835 390
Juillet 2002;2 698 900; 364 840; 600 440; 83 000; 131 530;3 878 710
Août 2002;2 820 020; 394 460; 502 690; 72 890; 128 710;3 918 760
Septembre 2002;2 792 990; 440 890; 572 470; 106 230; 131 420;4 044 000
Octobre 2002;2 823 060; 431 140; 595 150; 139 880; 131 360;4 120 580
Novembre 2002;2 851 410; 437 350; 565 210; 161 120; 133 370;4 148 460
Décembre 2002;2 849 710; 439 610; 574 610; 150 220; 123 680;4 137 820
Janvier 2003;2 935 940; 441 640; 533 410; 171 410; 125 260;4 207 660
Février 2003;2 903 030; 451 330; 542 870; 177 870; 127 720;4 202 820
Mars 2003;2 825 090; 448 470; 578 950; 184 830; 130 610;4 167 950
Avril 2003;2 747 790; 447 250; 602 390; 183 430; 128 520;4 109 390
Mai 2003;2 688 520; 440 720; 593 540; 174 450; 130 860;4 028 080
Juin 2003;2 683 350; 431 530; 606 000; 144 400; 127 610;3 992 890
Juillet 2003;2 803 860; 392 210; 608 410; 92 170; 119 450;4 016 090
Août 2003;2 929 470; 429 240; 513 680; 80 080; 113 100;4 065 560
Septembre 2003;2 948 930; 464 530; 598 020; 123 710; 115 920;4 251 110
Octobre 2003;2 975 670; 468 850; 608 680; 161 080; 122 340;4 336 620
Novembre 2003;2 975 710; 478 830; 581 580; 182 010; 124 470;4 342 600
Décembre 2003;2 969 830; 477 990; 611 620; 167 340; 118 800;4 345 570
Janvier 2004;3 005 730; 466 450; 566 520; 180 970; 115 380;4 335 050
Février 2004;2 944 990; 473 360; 581 530; 185 950; 115 750;4 301 570
Mars 2004;2 845 020; 458 800; 644 710; 199 880; 117 690;4 266 100
Avril 2004;2 742 840; 483 600; 657 650; 200 230; 116 850;4 201 170
Mai 2004;2 707 540; 480 780; 658 890; 185 470; 114 230;4 146 920
Juin 2004;2 686 030; 467 630; 698 160; 155 520; 115 400;4 122 740
Juillet 2004;2 797 590; 438 040; 679 110; 90 430; 106 600;4 111 770
Août 2004;2 965 790; 454 690; 594 190; 90 190; 102 080;4 206 940
Septembre 2004;2 918 170; 505 900; 680 530; 135 900; 103 000;4 343 500
Octobre 2004;2 939 600; 512 530; 681 210; 162 270; 104 470;4 400 070
Novembre 2004;2 978 630; 503 860; 674 830; 190 020; 108 460;4 455 790
Décembre 2004;2 949 620; 510 710; 697 550; 173 450; 109 470;4 440 790
Janvier 2005;3 037 470; 516 660; 628 750; 185 790; 108 440;4 477 100
Février 2005;2 986 680; 529 350; 637 480; 191 630; 111 140;4 456 280
Mars 2005;2 890 940; 513 210; 694 590; 199 460; 121 900;4 420 100
Avril 2005;2 786 680; 527 090; 708 340; 192 370; 133 090;4 347 560
Mai 2005;2 747 440; 514 230; 726 660; 187 320; 131 720;4 307 370
Juin 2005;2 691 100; 494 570; 739 830; 153 460; 120 340;4 199 310
Juillet 2005;2 774 720; 474 540; 712 300; 92 840; 109 740;4 164 140
Août 2005;2 921 330; 482 730; 630 140; 95 610; 110 430;4 240 240
Septembre 2005;2 843 030; 540 300; 713 100; 140 100; 117 360;4 353 890
Octobre 2005;2 854 830; 533 570; 692 840; 169 010; 125 590;4 375 840
Novembre 2005;2 849 670; 520 010; 676 590; 198 460; 140 160;4 384 880
Décembre 2005;2 799 350; 527 090; 692 170; 189 340; 134 660;4 342 610
Janvier 2006;2 876 710; 520 990; 623 350; 207 120; 145 250;4 373 420
Février 2006;2 806 180; 536 700; 618 780; 215 290; 151 970;4 328 930
Mars 2006;2 680 750; 513 150; 678 780; 225 360; 151 680;4 249 720
Avril 2006;2 545 280; 534 770; 670 010; 220 000; 157 660;4 127 710
Mai 2006;2 460 540; 505 890; 702 420; 214 630; 164 980;4 048 450
Juin 2006;2 400 380; 490 880; 709 180; 183 570; 171 800;3 955 810
Juillet 2006;2 465 370; 465 470; 678 750; 117 990; 172 050;3 899 620
Août 2006;2 604 890; 471 310; 598 880; 117 670; 174 080;3 966 830
Septembre 2006;2 514 910; 522 210; 669 960; 152 370; 185 480;4 044 930
Octobre 2006;2 544 810; 517 900; 647 930; 186 690; 195 140;4 092 460
Novembre 2006;2 528 800; 516 340; 634 920; 209 810; 202 790;4 092 660
Décembre 2006;2 474 760; 520 200; 632 670; 188 980; 198 730;4 015 340
Janvier 2007;2 538 520; 506 230; 587 890; 209 520; 208 110;4 050 270
Février 2007;2 466 330; 512 640; 594 010; 217 830; 219 370;4 010 180
Mars 2007;2 351 180; 487 360; 654 920; 219 980; 231 270;3 944 710
Avril 2007;2 242 990; 497 290; 654 690; 217 730; 236 750;3 849 450
Mai 2007;2 183 160; 466 240; 675 490; 212 620; 240 860;3 778 360
Juin 2007;2 122 230; 452 130; 680 820; 173 450; 243 830;3 672 460
Juillet 2007;2 202 010; 427 090; 657 290; 116 730; 240 990;3 644 110
Août 2007;2 332 370; 454 550; 568 040; 115 540; 236 950;3 707 440
Septembre 2007;2 269 920; 485 830; 640 240; 147 450; 239 300;3 782 740
Octobre 2007;2 272 700; 470 330; 658 560; 179 670; 244 520;3 825 780
Novembre 2007;2 258 630; 474 000; 633 860; 200 090; 246 180;3 812 740
Décembre 2007;2 213 840; 480 260; 626 030; 181 540; 235 410;3 737 090
